Reviews,Ratings
"Maybe I got an old bottle, because it's awful. I love lemon, sugar, sweet, citrus... but this combination is how air fresheners or house cleaning sprays smell. No sugar notes, no sweet notes, just lemon pledge. Which I like for my furniture, or as a dish detergent, but not on my skin.",1
"I have often heard about this type of product and I always assumed they would be lined with plastic of some kind, something non-absorbent, because otherwise, your hand cream would soak into the fabric, right?  Well, they are NOT lined with plastic, and the hand cream DID soak into them.  I put my regular application of hand cream on, and worked it in, and then, prepping for sleep, I put a big glob on my hands and rubbed it all around, sort of like you do on the face with a mask or hair with deep conditioner.  But the gloves are snug; some of the cream actually was pushed down to my wrist by the action of struggling into the gloves, and the rest of it soaked into the glove fabric once I had the gloves on.  I took them off a few minutes later because they were so tight on my hands (I wear size 7 gloves so my hands are not that outrageously big.)  As a process I don't recommend this, but if you are willing to deal with the drawbacks, you might like these.  But for me, I'll just keep moisturizing my hands before bed as usual.",1
Wow I was totally hyped to try this shower gel. According to the rate and review I thought this would be awesome. However I received the package all torn up and the bottle itself had no seal. Very disappointed,1
Too expensive for such poor quality. There was no improvement and I am starting to think my scalp is worse off than it was before I started using this product. I do agree with other reviews that it feels watered down too much. Had to use more shampoo than all other shampoo's I have tried to get a good lather.,1
Worst shampoo Ive ever used.  Was mostly water.  I could not get a good lather.  Hair never felt clean after use.  I cannot understand why so many good reviews.  Will not buy again!,1
"Selenium appeared in my search results when I was looking for an organic anti-dandruff shampoo. I was super excited to see the 5 star review. I have been struggling with dandruff for past 6 years and I was really hoping this will make a difference, atleast keep the dandruff at bay for 2 days followed by a shampoo wash with Selenium. But unfortunately, it hardly keeps dandruff at bay. And to make it worse, it makes your hair super dry.",1
"This really dries out my hair and makes it feel even thinner than it already is. The smell is nice, but consistency is pretty much water. I honestly think most of the reviews are false ",1
"Awful. Zero anti dandruff properties. Comes out of bottle like water, so very easy to waste. Very poor lathering, requires large quantity to lather up hair. Vague smell, not bad but also not pleasant.",1
"This product is a scam!  Not only does it have the consistency of water, but you need a tremendous amount for it to foam, as suggested in the instructions.  I have a shaved head and can see going through this bottle in a week or two at this pace.  To make matters worse, the my short hair was sticking up as if I had been electrocuted!  I'm going to try try this junk one more time and if I experience similar results, I'm going to try to return this trash.  BUYER BEWARE!!!",1
"I bought this shampoo because the description stated it was gentle, for itchy, red and irritated scalp. I used it one time and it burned my scalp almost immediately! I bought two bottles and I am returning them both!  I honestly don't know how it get so many good reviews.",1
"Nope. It smells like artificial bananas, and this smell does linger. It's pure liquid, there is no thickness to it at all, it's like pouring banana water on your head that lathers. It does not help with an itchy scalp either (I have psoriasis). This shampoo neither helped nor hindered my hair or scalp, made absolutely no difference (except for the banana smell). Don't waste your money.",1
I used Jan Marini eyelash intervention and my lashes were longer and noticeable. I wanted to try something else and Revitalash had a good reviews. After 3 month of everyday use there's no difference at all! Now I'm gonna try Procyde MD Lash factor if that doesn't work I'm gonna be back to Jan Marini even it's the most expensive lash conditioner.,1
"I bought this as I was really motivated by the commercials for this ""Optic White"" mouthwash. I was a victim of the promise.  Maybe it does work, but seriously, this is NASTY stuff.  NASTY.  I would force myself to use it (white teeth=life's problems solved!), but then end up spitting it out short of ten seconds.  I hate that I bought a four pack and am stuck with two unopened bottles.

I'm not a wimp with flavors, but this is gross. Hate.",1
"Williams Lectirc Shave is a great product that has served men's electric shaving needs for several decades!  BUT DON'T buy it here!  WHY?  I didn't pay close enough attention to the prices vs weight and when it arrived I was really angry!  This is the 3 ounce travel bottle that you can sometimes find in you local drug store for about $2.50, NOT $5.62!!!  For $5.48 - $5.85 you can buy the 7 ounce bottle at every drugstore in your town or on line at CVS.com or Drugstore.com or any other online national drug store chain.  DON'T GET RIPPED OFF BY THIS SELLER!!  YOU ARE PAYING TOO MUCH FOR WHAT YOU GET! THE PRICE SHOULD BE FOR THE 7 OUNCE BOTTLE AND NOT THE 3 OUNCE BOTTLE.  RIP OFF!!!!!!!!!!!",1
"Be careful, NewAir will not stand by their products. Our NewAir broke within the first 4 hours of use.  The manufacturer will NOT cover the item under warranty. Just in case you're actually thinking of buying a NewAir product... think twice...

From: NewAir Sales <sales@newair.com>
Date: Fri, Nov 14, 2014 at 11:03 AM
Subject: Re: Icemaker return
To: Susan Ferguson <xxxxx@gwmail.gwu.edu>

Hi Susan,

The manufacturer warranty is void if the unit is purchased by a private seller who does not have our consent to sell our products. This is the same reason why we ask for a copy of your receipt upon requesting warranty claims because if it not from a valid authorized dealer we will not proceed with warranty work. We also list our authorized dealers on our web site for customer use. We stand behind our products, however when an item is purchased from a private seller the purchaser runs the risk of the item being used, open box, refurbished, and or a scratch and dent. Our one year limited manufacturer's warranty is only valid on new items sold by our authorized online dealers. It is unfortunate to see that you are in this situation, however you will need to contact the seller of the item for a replacement or refund.

Have a great day!

Mireya
Customer Support
NewAir | 3419 East Chapman Ave. #190 | Orange, CA 92869
Ph: 855-963-9247 Em: sales@newair.com
FB: facebook.com/NewAirUSA Twitter: @NewAirUSA
Pinterest: pinterest.com/NewAirUSA Instagram: NewAirUSA
Web: [...]
""Made by awesome""

On Thu, Nov 13, 2014 at 7:59 PM, Susan Ferguson <xxxxx@gwmail.gwu.edu> wrote:
Hello Mireya-

I'm sorry but I thought the manufacturer warranty was for the manufacturer, NewAir.  Please explain why the warranty is not valid in this case.  I don't see anywhere in the warranty exclusions that the warranty is not valid if not purchased from an authorized dealer.  In addition, a consumer would never know who ""authorized dealers"" are because if a company is selling your product doesn't that implicitly make them authorized to do so?

I sincerely hope that NewAir will reconsider this position and stand by the integrity of their products.  This ice machine was literally used for four hours before failing and it is, quite frankly egregious that your company is negating a warranty that explicitly states it will repair or replace defective materials or workmanship for up to one year.

Please let me know how I can talk to a dispute department regarding this matter.  I look forward to your response and I will refrain from giving any reviews of your product until this matter is resolved.

Thank you,
Susan Ferguson

On Thu, Nov 13, 2014 at 3:10 PM, NewAir Sales <sales@newair.com> wrote:
Hi Susan,

Unfortunately, the ice maker was not purchased from an authorized dealer. You will need to contact the seller ""Mehadrin"" through Amazon for any existing issues on your unit.

Have a great day!

Mireya
Customer Support
NewAir | 3419 East Chapman Ave. #190 | Orange, CA 92869
Ph: 855-963-9247 Em: sales@newair.com
FB: facebook.com/NewAirUSA Twitter: @NewAirUSA
Pinterest: pinterest.com/NewAirUSA Instagram: NewAirUSA
Web: [...]
""Made by awesome""

On Thu, Nov 13, 2014 at 12:32 PM, Susan Ferguson <xxxxxxxxx@gwmail.gwu.edu> wrote:
Hello-  I received an AI-100S icemaker in March 2014.  I used it one time and within 4 hours the cooling unit had shut down.  My best estimate is that the pump was still working (the water was getting pumped through) but the cooling mechanism was not.  When I plugged the unit back in to try it a few hours later, the cooling mechanism never turned on.

Since this product is still under warranty, I am hoping to acquire a new unit since this particular one has essentially never been used and is obviously faulty in some capacity.

I have attached the receipt for your reference.  It was purchased as a gift through Amazon Marketplace.  Thanks so much and I look forward to your response.

Susan Ferguson",1
"We would give less than 1 star if possible DONT BUY THIS PRODUCT.  The ice machine stopped working four hours after we used it the first time.  We notified New Air and they stated they would not honor their one year warranty because ""an authorized dealer didn't sell"".  We bought this product on Amazon and never even thought we would have to cross check our purchase with the manufacturer.  NewAir does not stand by their products and they will use any method to get out of honoring their warranty.  I have a $200 piece of junk now, I will NEVER buy another NewAir product again.",1
"see original remarks, made the mistake of buying it again from same dealer same problems different machine.  Save your money !!",1
it did not last more then 3 days,1
"piece of garbage switch set to high that it will not shut off, couldn't return because it was taken out of package how else do you know if it will work if you don't take it out and try it. bad return policy",1
Should have listened to other reviews. The elastics does not hold up.,1
"I wore these shoe one time, from the airport in Omaha, NE to the airport in Phoenix, AZ. When I arrived in Phoenix, the left shoe/sole started squeaking and won't stop. I want to return for a refund. Need instructions for returning as no paperwork was in my package when it arrived.",1
I usually wear a size 8 and they fit fine. These are way too narrow. Thought they might stretch out but they didnt. Had to give away.,1
Oops! I returned these because I ordered wrong size!,1
"I loved these shoes...that is until after about an hour of wear, the green inserts on the sole of the right show began falling off. The wear was in my home, on smooth floors. I can only assume they were defective.",1
I've not even had them a month and the bottom is coming off. I'm not happy!,1
Ordered 9(m) received 9 Wide for the second time. Returned them for the second time.,1
After less than a week the sole ripped off on the outside of the shoe,1
"Returning these. the pictures on here make the shoe appear all black with a touch of pink in the check. however, the whole shoe has pink coming through. I was looking for an all black shoe. I ordered the Nike Women's Flex Supreme TR3 instead and love them!!!",1
"Unfortunately, this Flex Supreme does NOT have enough support over the toe and ankle are for my requirements.
Returning for credit.  Thanks anyway.",1
After using this shoes seven times for regular activities like walking or dancing the sole came out. I am very disappointed. I don't recommend this product at all. The worse part is that I can not return this item because the return window closed 4 days ago.,1
"Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.",1
"Item was not as described. False advertising, shipped late and arrived scratched up in a very cheap plastic pouch. Very unhappy with this item as it was a gift for someone very special to me. Looks like the tin was used. I could not leave a detailed feedback because it was not approved by someone who doesn't like their name mentioned in the feedback. Just like posting reviews on that large movie streaming company that's name starts with an ""N"" and ends with an ""X"". My recommendation is don't buy it.",1
What a rip off! This deal of the day started and within 1 minute it was sold out. I added it to my cart and before I could even hit the checkout it was sold out. Where they only offering 5 gift cards as the deal of the day? I clicked add to cart within 30 seconds of the deal starting and now can't buy it. Thanks for nothing. I was waiting 1 hour for this deal to start.,1
"Nightmare. Avoid at all costs, Amazon and Wholefoods do not sell good gift cards online. Major hassle lots of embarrassing situations.",1
"Go directly to the Papa John's website to order your $25 gift cards.  Here's what you get for doing so:  get an instant coupon code by email for a free large pizza.  Then, go online to use the free pizza coupon, select more pizzas, and immediately use your $25 PJ gift card.  Also, if you look, there are all kinds of specials on the PJ ordering website, such as this one that is going on at the time of this review... it's called ""Pepsi. Pizza. Rock.""  For $12 you get a large 2 topping pizza and a 2 liter drink.  Then, you receive another coupon code for a free product, such as a large pizza or a 2 liter drink.  All of mine thus far, and I do this every weekend for the past month...have been a free large pizza.  On top of all of this, you get Papa rewards, so every 25 Papa Points, you get another free large pizza.  You can't go wrong.  And the pizza is phenomenal.  And don't even get me started on that wonderful garlic butter they include in the order.  WIN! WIN!",1
